127.0.0.1, 2016-10-21 17:04:57, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.075534
127.0.0.1, 2016-10-21 17:04:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001070
127.0.0.1, 2016-10-21 17:05:00, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.065851
127.0.0.1, 2016-10-21 17:05:00, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.066786
127.0.0.1, 2016-10-21 17:05:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000878
127.0.0.1, 2016-10-21 17:05:01, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.065466
127.0.0.1, 2016-10-21 17:05:01, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.076189
127.0.0.1, 2016-10-21 17:05:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000990
127.0.0.1, 2016-10-21 17:05:28, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.063077
127.0.0.1, 2016-10-21 17:05:29, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.070498
127.0.0.1, 2016-10-21 17:05:29, GET, /favicon.ico, HTTP/1.1, 400, 0.002074
127.0.0.1, 2016-10-21 17:05:31, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.066123
127.0.0.1, 2016-10-21 17:05:31, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.067451
127.0.0.1, 2016-10-21 17:05:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001092
127.0.0.1, 2016-10-21 17:05:33, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.067055
127.0.0.1, 2016-10-21 17:05:33, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.067967
127.0.0.1, 2016-10-21 17:05:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000883
127.0.0.1, 2016-10-21 17:06:40, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.063950
127.0.0.1, 2016-10-21 17:06:40, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.067146
